ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-04-22,76.69320098,69.29214189804266,71.60114206682532,76.69320098,76.69320098,-6.248350638666137,-6.248350638666137,-6.248350638666137,-0.10131879899674451,-0.10131879899674451,-0.10131879899674451,-6.147031839669393,-6.147031839669393,-6.147031839669393,0.0,0.0,0.0,70.44485034133386
2019-04-25,76.40830427773328,69.21787214927707,71.53562834650202,76.40830427773328,76.40830427773328,-6.022316968683751,-6.022316968683751,-6.022316968683751,-0.03430953537479816,-0.03430953537479816,-0.03430953537479816,-5.988007433308953,-5.988007433308953,-5.988007433308953,0.0,0.0,0.0,70.38598730904953
2019-04-27,76.2183727393857,69.17899542434242,71.40833633346548,76.2183727393857,76.2183727393857,-5.836383296804591,-5.836383296804591,-5.836383296804591,0.024297624121524468,0.024297624121524468,0.024297624121524468,-5.860680920926116,-5.860680920926116,-5.860680920926116,0.0,0.0,0.0,70.3819894425811
2019-04-30,75.93293146034316,69.17690219223171,71.50003646408167,75.93293146034316,75.93293146034316,-5.5866042123377415,-5.5866042123377415,-5.5866042123377415,0.06890768877157623,0.06890768877157623,0.06890768877157623,-5.655511901109318,-5.655511901109318,-5.655511901109318,0.0,0.0,0.0,70.34632724800541
2019-05-02,75.69929632427919,69.07492034255436,71.32085089434142,75.69929632427919,75.69929632427919,-5.553121809200126,-5.553121809200126,-5.553121809200126,-0.034309535375081184,-0.034309535375081184,-0.034309535375081184,-5.518812273825046,-5.518812273825046,-5.518812273825046,0.0,0.0,0.0,70.14617451507907
2019-05-04,75.46566118821521,68.92441009618605,71.22668132792616,75.46566118821521,75.46566118821521,-5.364073345061526,-5.364073345061526,-5.364073345061526,0.024297624121562975,0.024297624121562975,0.024297624121562975,-5.388370969183089,-5.388370969183089,-5.388370969183089,0.0,0.0,0.0,70.10158784315368
2019-05-05,75.34884362018323,68.8926745825544,71.12675637481816,75.34884362018323,75.34884362018323,-5.326996781164381,-5.326996781164381,-5.326996781164381,-0.00030259670759342827,-0.00030259670759342827,-0.00030259670759342827,-5.3266941844567866,-5.3266941844567866,-5.3266941844567866,0.0,0.0,0.0,70.02184683901885
2019-05-06,75.23202605215124,68.7416646321103,71.05333530588652,75.23202605215124,75.23202605215124,-5.369124710761196,-5.369124710761196,-5.369124710761196,-0.10131879899668567,-0.10131879899668567,-0.10131879899668567,-5.267805911764509,-5.267805911764509,-5.267805911764509,0.0,0.0,0.0,69.86290134139004
2019-05-09,74.8815733480553,68.56757204229305,70.84009821218059,74.8815733480553,74.8815733480553,-5.143441901008642,-5.143441901008642,-5.143441901008642,-0.034309535374799735,-0.034309535374799735,-0.034309535374799735,-5.109132365633842,-5.109132365633842,-5.109132365633842,0.0,0.0,0.0,69.73813144704665
2019-05-10,74.76475578002331,68.56994591814342,70.75672025894742,74.76475578002331,74.76475578002331,-5.108156495441804,-5.108156495441804,-5.108156495441804,-0.04603593919998753,-0.04603593919998753,-0.04603593919998753,-5.062120556241816,-5.062120556241816,-5.062120556241816,0.0,0.0,0.0,69.6565992845815
